INFO:root:server started
INFO:root:col 495 processed
INFO:root:delegating col 496
INFO:root:col 496 processed
INFO:root:delegating col 497
INFO:root:col 497 processed
INFO:root:delegating col 498
INFO:root:col 498 processed
INFO:root:delegating col 499
INFO:root:col 499 processed
INFO:root:delegating col 500
INFO:root:col 500 processed
INFO:root:delegating col 501
INFO:root:col 501 processed
INFO:root:delegating col 502
INFO:root:col 502 processed
INFO:root:delegating col 503
INFO:root:col 503 processed
INFO:root:delegating col 504
INFO:root:col 504 processed
INFO:root:delegating col 505
INFO:root:col 505 processed
INFO:root:delegating col 506
INFO:root:col 506 processed
INFO:root:delegating col 507
INFO:root:col 507 processed
INFO:root:delegating col 508
INFO:root:col 508 processed
INFO:root:delegating col 509
INFO:root:col 509 processed
INFO:root:delegating col 510
INFO:root:col 510 processed
INFO:root:delegating col 511
INFO:root:col 511 processed
INFO:root:delegating col 512
INFO:root:col 512 processed
INFO:root:delegating col 513
INFO:root:col 513 processed
INFO:root:delegating col 514
INFO:root:col 514 processed
INFO:root:delegating col 515
INFO:root:col 515 processed
INFO:root:delegating col 516
INFO:root:col 516 processed
INFO:root:delegating col 517
INFO:root:col 517 processed
INFO:root:delegating col 518
INFO:root:col 518 processed
INFO:root:delegating col 519
INFO:root:col 519 processed
INFO:root:delegating col 520
INFO:root:col 520 processed
INFO:root:delegating col 521
INFO:root:col 521 processed
INFO:root:delegating col 522
INFO:root:col 522 processed
INFO:root:delegating col 523
INFO:root:col 523 processed
INFO:root:delegating col 524
INFO:root:col 524 processed
INFO:root:delegating col 525
INFO:root:col 525 processed
INFO:root:delegating col 526
INFO:root:col 526 processed
